# 派生词候选_待审核

生成时间	2026-04-28 20:58:57
导入词库数	27
已有词条数	1849482
2字源词数	175235

说明：这是保守规则生成的候选，不会自动入库。确认后再写入 base 或 composite。
列格式：类型	建议目标	源词/源组合	源频	派生候选	来源
形容词候选已按白名单收紧	保留 62 条	过滤 438 条

## 动词名词结构

verb_object	cn_dicts_cell/composite.dict.yaml	读书	20651	读完书、读书没、读没读书、读了个书、读了本书、读了部书、读了卷书、读了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	试图	14273	试了图、试完图、试图没、没试图、试没试图、试了个图、试了张图、试了幅图	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开头	14163	开完头、开头没、没开头、开没开头、开了个头	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	验证	13864	验了证、验完证、验证没、没验证、验没验证、验了个证	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	付费	13749	付了费、付完费、付费没、没付费、付没付费、付了个费	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	看书	13671	看完书、看书没、看没看书、看了个书、看了本书、看了部书、看了卷书、看了套书	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	拍照	13038	拍照没、拍没拍照、拍了个照、拍了张照	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	刷题	12023	刷了题、刷完题、刷题没、刷没刷题、刷了个题、刷了道题	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发音	11274	发了音、发完音、发音没、没发音、发没发音、发了个音	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	收费	10306	收了费、收完费、收费没、没收费、收没收费、收了个费	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	发表	9978	发了表、发完表、发表没、没发表、发没发表、发了个表	cn_dicts/base.dict.yaml
verb_object	cn_dicts_cell/composite.dict.yaml	开车	9803	开完车、开车没、开没开车、开了个车、开了辆车、开了台车	cn_dicts/base.dict.yaml
